,GEOID10,BLKGRPID,TRACTID,STATEFP,COUNTYFP,TRACTCE,PUMA,REGION
1151,261251580003,261251580003,26125158000,26,125,158000,2906,4
1152,261251325002,261251325002,26125132500,26,125,132500,2901,4
1153,261251306002,261251306002,26125130600,26,125,130600,2901,4
1154,261251670003,261251670003,26125167000,26,125,167000,2907,4
1155,261251684002,261251684002,26125168400,26,125,168400,2907,4
1186,261251920001,261251920001,26125192000,26,125,192000,2903,4
1187,261251924002,261251924002,26125192400,26,125,192400,2903,4
1188,261251930003,261251930003,26125193000,26,125,193000,2903,4
1189,261251846003,261251846003,26125184600,26,125,184600,2908,4
1190,261251371003,261251371003,26125137100,26,125,137100,2905,4
1191,261251446001,261251446001,26125144600,26,125,144600,2904,4
1192,261251446002,261251446002,26125144600,26,125,144600,2904,4
1193,261251330021,261251330021,26125133002,26,125,133002,2905,4
1194,261251435005,261251435005,26125143500,26,125,143500,2904,4
1195,261251608003,261251608003,26125160800,26,125,160800,2907,4
1196,261251609002,261251609002,26125160900,26,125,160900,2907,4
1197,261251579002,261251579002,26125157900,26,125,157900,2906,4
1198,261251712001,261251712001,26125171200,26,125,171200,2908,4
1199,261251712002,261251712002,26125171200,26,125,171200,2908,4
1200,261251714004,261251714004,26125171400,26,125,171400,2908,4
1201,261251838003,261251838003,26125183800,26,125,183800,2908,4
1222,261251600006,261251600006,26125160000,26,125,160000,2907,4
1223,261251812005,261251812005,26125181200,26,125,181200,2908,4
1230,261251847001,261251847001,26125184700,26,125,184700,2908,4
1231,261251725002,261251725002,26125172500,26,125,172500,2908,4
1232,261251621001,261251621001,26125162100,26,125,162100,2907,4
1233,261251700002,261251700002,26125170000,26,125,170000,2908,4
1234,261251704001,261251704001,26125170400,26,125,170400,2908,4
1235,261251730005,261251730005,26125173000,26,125,173000,2908,4
1260,261251365001,261251365001,26125136500,26,125,136500,2905,4
1277,261251731002,261251731002,26125173100,26,125,173100,2908,4
1278,261251904001,261251904001,26125190400,26,125,190400,2902,4
1279,261251215003,261251215003,26125121500,26,125,121500,2902,4
1280,261251411001,261251411001,26125141100,26,125,141100,2904,4
1281,261251217003,261251217003,26125121700,26,125,121700,2902,4
1282,261251427003,261251427003,26125142700,26,125,142700,2904,4
1283,261251724002,261251724002,26125172400,26,125,172400,2908,4
1284,261251753004,261251753004,26125175300,26,125,175300,2908,4
1311,261251802001,261251802001,26125180200,26,125,180200,2908,4
1312,261251930001,261251930001,26125193000,26,125,193000,2903,4
1313,261251753003,261251753003,26125175300,26,125,175300,2908,4
1314,261251971002,261251971002,26125197100,26,125,197100,2903,4
1324,261251231002,261251231002,26125123100,26,125,123100,2901,4
1332,261251420002,261251420002,26125142000,26,125,142000,2904,4
1333,261251420001,261251420001,26125142000,26,125,142000,2904,4
1334,261251420003,261251420003,26125142000,26,125,142000,2904,4
1335,261251881001,261251881001,26125188100,26,125,188100,2908,4
1336,261251912001,261251912001,26125191200,26,125,191200,2903,4
1367,261251367001,261251367001,26125136700,26,125,136700,2905,4
1368,261251365002,261251365002,26125136500,26,125,136500,2905,4
1369,261251573003,261251573003,26125157300,26,125,157300,2906,4
1370,261251285001,261251285001,26125128500,26,125,128500,2902,4
1371,261251845001,261251845001,26125184500,26,125,184500,2908,4
1372,261251531002,261251531002,26125153100,26,125,153100,2906,4
1373,261251615001,261251615001,26125161500,26,125,161500,2907,4
1374,261251620001,261251620001,26125162000,26,125,162000,2907,4
1375,261251302003,261251302003,26125130200,26,125,130200,2901,4
1376,261251306003,261251306003,26125130600,26,125,130600,2901,4
1377,261251904003,261251904003,26125190400,26,125,190400,2902,4
1378,261251674003,261251674003,26125167400,26,125,167400,2907,4
1411,261251966001,261251966001,26125196600,26,125,196600,2903,4
1412,261251505002,261251505002,26125150500,26,125,150500,2906,4
1413,261251505001,261251505001,26125150500,26,125,150500,2906,4
1414,261251545002,261251545002,26125154500,26,125,154500,2906,4
1415,261251578002,261251578002,26125157800,26,125,157800,2906,4
1448,261251426004,261251426004,26125142600,26,125,142600,2904,4
1479,261251367003,261251367003,26125136700,26,125,136700,2905,4
1480,261251675001,261251675001,26125167500,26,125,167500,2907,4
1481,261251673004,261251673004,26125167300,26,125,167300,2907,4
1482,261251442001,261251442001,26125144200,26,125,144200,2904,4
1490,261251454003,261251454003,26125145400,26,125,145400,2904,4
1491,261251353002,261251353002,26125135300,26,125,135300,2905,4
1492,261251686001,261251686001,26125168600,26,125,168600,2907,4
1493,261251666001,261251666001,26125166600,26,125,166600,2907,4
1508,261251506001,261251506001,26125150600,26,125,150600,2906,4
1509,261251507003,261251507003,26125150700,26,125,150700,2906,4
1510,261251507001,261251507001,26125150700,26,125,150700,2906,4
1511,261251420004,261251420004,26125142000,26,125,142000,2904,4
1512,261251273002,261251273002,26125127300,26,125,127300,2902,4
1513,261251435002,261251435002,26125143500,26,125,143500,2904,4
1514,261251508001,261251508001,26125150800,26,125,150800,2906,4
1515,261251245004,261251245004,26125124500,26,125,124500,2901,4
1516,261251426002,261251426002,26125142600,26,125,142600,2904,4
1517,261251945001,261251945001,26125194500,26,125,194500,2903,4
1518,261251368003,261251368003,26125136800,26,125,136800,2905,4
1519,261251736001,261251736001,26125173600,26,125,173600,2908,4
1520,261251316001,261251316001,26125131600,26,125,131600,2901,4
1521,261251582001,261251582001,26125158200,26,125,158200,2906,4
1551,261251240004,261251240004,26125124000,26,125,124000,2901,4
1552,261251263002,261251263002,26125126300,26,125,126300,2901,4
1553,261251565002,261251565002,26125156500,26,125,156500,2906,4
1580,261251980002,261251980002,26125198000,26,125,198000,2903,4
1581,261251716001,261251716001,26125171600,26,125,171600,2908,4
1582,261251831004,261251831004,26125183100,26,125,183100,2908,4
1583,261251446003,261251446003,26125144600,26,125,144600,2904,4
1584,261251447011,261251447011,26125144701,26,125,144701,2904,4
1585,261251330022,261251330022,26125133002,26,125,133002,2905,4
1586,261251600004,261251600004,26125160000,26,125,160000,2907,4
1587,261251927002,261251927002,26125192700,26,125,192700,2903,4
1588,261251408001,261251408001,26125140800,26,125,140800,2904,4
1589,261251275004,261251275004,26125127500,26,125,127500,2902,4
1590,261251448001,261251448001,26125144800,26,125,144800,2904,4
1593,261251443003,261251443003,26125144300,26,125,144300,2904,4
1594,261251274001,261251274001,26125127400,26,125,127400,2902,4
1595,261251922002,261251922002,26125192200,26,125,192200,2903,4
1678,261251443001,261251443001,26125144300,26,125,144300,2904,4
1679,261251271002,261251271002,26125127100,26,125,127100,2902,4
1680,261251910001,261251910001,26125191000,26,125,191000,2903,4
1681,261251911001,261251911001,26125191100,26,125,191100,2903,4
1702,261251975001,261251975001,26125197500,26,125,197500,2903,4
1720,261251510002,261251510002,26125151000,26,125,151000,2906,4
1721,261251520002,261251520002,26125152000,26,125,152000,2906,4
1722,261251924004,261251924004,26125192400,26,125,192400,2903,4
1746,261251924001,261251924001,26125192400,26,125,192400,2903,4
1747,261251816002,261251816002,26125181600,26,125,181600,2908,4
1748,261251447012,261251447012,26125144701,26,125,144701,2904,4
1749,261251803003,261251803003,26125180300,26,125,180300,2908,4
1750,261251981001,261251981001,26125198100,26,125,198100,2903,4
1751,261251814001,261251814001,26125181400,26,125,181400,2908,4
1752,261251833004,261251833004,26125183300,26,125,183300,2908,4
1763,261251344003,261251344003,26125134400,26,125,134400,2905,4
1764,261251812004,261251812004,26125181200,26,125,181200,2908,4
1765,261251816003,261251816003,26125181600,26,125,181600,2908,4
1780,261251449002,261251449002,26125144900,26,125,144900,2904,4
1781,261251449004,261251449004,26125144900,26,125,144900,2904,4
1782,261251340004,261251340004,26125134000,26,125,134000,2905,4
1783,261251343002,261251343002,26125134300,26,125,134300,2905,4
1784,261251344002,261251344002,26125134400,26,125,134400,2905,4
1785,261251943002,261251943002,26125194300,26,125,194300,2903,4
1786,261251383022,261251383022,26125138302,26,125,138302,2901,4
1787,261251371002,261251371002,26125137100,26,125,137100,2905,4
1788,261251920002,261251920002,26125192000,26,125,192000,2903,4
1817,261251443002,261251443002,26125144300,26,125,144300,2904,4
1818,261251444002,261251444002,26125144400,26,125,144400,2904,4
1819,261251444003,261251444003,26125144400,26,125,144400,2904,4
1820,261251445001,261251445001,26125144500,26,125,144500,2904,4
1821,261251227002,261251227002,26125122700,26,125,122700,2902,4
1822,261251285003,261251285003,26125128500,26,125,128500,2902,4
1823,261251273003,261251273003,26125127300,26,125,127300,2902,4
1824,261251731001,261251731001,26125173100,26,125,173100,2908,4
1847,261251368002,261251368002,26125136800,26,125,136800,2905,4
1848,261251349003,261251349003,26125134900,26,125,134900,2905,4
1875,261251449003,261251449003,26125144900,26,125,144900,2904,4
1876,261251937002,261251937002,26125193700,26,125,193700,2903,4
1877,261251812003,261251812003,26125181200,26,125,181200,2908,4
1937,261251343003,261251343003,26125134300,26,125,134300,2905,4
1938,261251651003,261251651003,26125165100,26,125,165100,2907,4
1939,261251813002,261251813002,26125181300,26,125,181300,2908,4
1940,261251830001,261251830001,26125183000,26,125,183000,2908,4
1941,261251940002,261251940002,26125194000,26,125,194000,2903,4
1942,261251944002,261251944002,26125194400,26,125,194400,2903,4
1943,261251942002,261251942002,26125194200,26,125,194200,2903,4
1944,261251946001,261251946001,26125194600,26,125,194600,2903,4
1945,261251331001,261251331001,26125133100,26,125,133100,2905,4
1946,261251331003,261251331003,26125133100,26,125,133100,2905,4
1962,261251215002,261251215002,26125121500,26,125,121500,2902,4
1963,261251931003,261251931003,26125193100,26,125,193100,2903,4
1964,261251424004,261251424004,26125142400,26,125,142400,2904,4
1965,261251582004,261251582004,26125158200,26,125,158200,2906,4
1966,261251581003,261251581003,26125158100,26,125,158100,2906,4
1967,261251531003,261251531003,26125153100,26,125,153100,2906,4
1968,261251527002,261251527002,26125152700,26,125,152700,2906,4
1969,261251533002,261251533002,26125153300,26,125,153300,2906,4
1970,261251533003,261251533003,26125153300,26,125,153300,2906,4
1971,261251733001,261251733001,26125173300,26,125,173300,2908,4
1972,261251733002,261251733002,26125173300,26,125,173300,2908,4
1973,261251734001,261251734001,26125173400,26,125,173400,2908,4
1974,261251870001,261251870001,26125187000,26,125,187000,2908,4
1975,261251415002,261251415002,26125141500,26,125,141500,2904,4
1976,261251415003,261251415003,26125141500,26,125,141500,2904,4
1977,261251606001,261251606001,26125160600,26,125,160600,2907,4
1978,261251715003,261251715003,26125171500,26,125,171500,2908,4
1979,261251607002,261251607002,26125160700,26,125,160700,2907,4
1980,261251229001,261251229001,26125122900,26,125,122900,2902,4
1981,261251415005,261251415005,26125141500,26,125,141500,2904,4
1982,261251416006,261251416006,26125141600,26,125,141600,2904,4
1983,261251416003,261251416003,26125141600,26,125,141600,2904,4
1984,261251417001,261251417001,26125141700,26,125,141700,2904,4
1985,261251666002,261251666002,26125166600,26,125,166600,2907,4
1986,261251686004,261251686004,26125168600,26,125,168600,2907,4
1987,261251579001,261251579001,26125157900,26,125,157900,2906,4
1988,261251669001,261251669001,26125166900,26,125,166900,2907,4
1989,261251713001,261251713001,26125171300,26,125,171300,2908,4
1990,261251714003,261251714003,26125171400,26,125,171400,2908,4
1991,261251714001,261251714001,26125171400,26,125,171400,2908,4
1992,261251264002,261251264002,26125126400,26,125,126400,2901,4
1993,261251264003,261251264003,26125126400,26,125,126400,2901,4
1994,261251365004,261251365004,26125136500,26,125,136500,2905,4
1995,261251689003,261251689003,26125168900,26,125,168900,2907,4
1996,261251965004,261251965004,26125196500,26,125,196500,2903,4
1997,261251810001,261251810001,26125181000,26,125,181000,2908,4
2001,261251313002,261251313002,26125131300,26,125,131300,2901,4
2002,261251326003,261251326003,26125132600,26,125,132600,2901,4
2003,261251614002,261251614002,26125161400,26,125,161400,2907,4
2004,261251565001,261251565001,26125156500,26,125,156500,2906,4
2005,261251811002,261251811002,26125181100,26,125,181100,2908,4
2006,261251590003,261251590003,26125159000,26,125,159000,2906,4
2007,261251540001,261251540001,26125154000,26,125,154000,2906,4
2008,261251504001,261251504001,26125150400,26,125,150400,2906,4
2009,261251904002,261251904002,26125190400,26,125,190400,2902,4
2010,261251315002,261251315002,26125131500,26,125,131500,2901,4
2016,261251902001,261251902001,26125190200,26,125,190200,2902,4
2017,261251281001,261251281001,26125128100,26,125,128100,2902,4
2018,261251282002,261251282002,26125128200,26,125,128200,2902,4
2019,261251842005,261251842005,26125184200,26,125,184200,2908,4
2020,261251844002,261251844002,26125184400,26,125,184400,2908,4
2021,261251407002,261251407002,26125140700,26,125,140700,2904,4
2022,261251405002,261251405002,26125140500,26,125,140500,2904,4
2023,261251403021,261251403021,26125140302,26,125,140302,2904,4
2024,261251444004,261251444004,26125144400,26,125,144400,2904,4
2025,261251618001,261251618001,26125161800,26,125,161800,2907,4
2026,261251619001,261251619001,26125161900,26,125,161900,2907,4
2027,261251620003,261251620003,26125162000,26,125,162000,2907,4
2028,261251847002,261251847002,26125184700,26,125,184700,2908,4
2029,261251421002,261251421002,26125142100,26,125,142100,2904,4
2030,261251700001,261251700001,26125170000,26,125,170000,2908,4
2031,261251704004,261251704004,26125170400,26,125,170400,2908,4
2032,261251290001,261251290001,26125129000,26,125,129000,2902,4
2033,261251367002,261251367002,26125136700,26,125,136700,2905,4
2034,261251442004,261251442004,26125144200,26,125,144200,2904,4
2035,261251979001,261251979001,26125197900,26,125,197900,2903,4
2036,261251975002,261251975002,26125197500,26,125,197500,2903,4
2049,261251560002,261251560002,26125156000,26,125,156000,2906,4
2050,261251802003,261251802003,26125180200,26,125,180200,2908,4
2051,261251881002,261251881002,26125188100,26,125,188100,2908,4
2052,261251969001,261251969001,26125196900,26,125,196900,2903,4
2053,261251925001,261251925001,26125192500,26,125,192500,2903,4
2054,261251687002,261251687002,26125168700,26,125,168700,2907,4
2055,261251969002,261251969002,26125196900,26,125,196900,2903,4
2056,261251971001,261251971001,26125197100,26,125,197100,2903,4
2080,261251409001,261251409001,26125140900,26,125,140900,2904,4
2081,261251301001,261251301001,26125130100,26,125,130100,2901,4
2082,261251565003,261251565003,26125156500,26,125,156500,2906,4
2083,261251678001,261251678001,26125167800,26,125,167800,2907,4
2084,261251678002,261251678002,26125167800,26,125,167800,2907,4
2085,261251578003,261251578003,26125157800,26,125,157800,2906,4
2086,261251972001,261251972001,26125197200,26,125,197200,2903,4
2087,261251227001,261251227001,26125122700,26,125,122700,2902,4
2088,261251507002,261251507002,26125150700,26,125,150700,2906,4
2089,261251604002,261251604002,26125160400,26,125,160400,2907,4
2090,261251422001,261251422001,26125142200,26,125,142200,2904,4
2091,261251346002,261251346002,26125134600,26,125,134600,2905,4
2092,261251530001,261251530001,26125153000,26,125,153000,2906,4
2093,261251424001,261251424001,26125142400,26,125,142400,2904,4
2094,261251424002,261251424002,26125142400,26,125,142400,2904,4
2098,261251612003,261251612003,26125161200,26,125,161200,2907,4
2099,261251614001,261251614001,26125161400,26,125,161400,2907,4
2100,261251306001,261251306001,26125130600,26,125,130600,2901,4
2101,261251751006,261251751006,26125175100,26,125,175100,2908,4
2102,261251416005,261251416005,26125141600,26,125,141600,2904,4
2103,261251361022,261251361022,26125136102,26,125,136102,2905,4
2104,261251608002,261251608002,26125160800,26,125,160800,2907,4
2105,261251710002,261251710002,26125171000,26,125,171000,2908,4
2106,261251711001,261251711001,26125171100,26,125,171100,2908,4
2107,261251714002,261251714002,26125171400,26,125,171400,2908,4
2108,261251838004,261251838004,26125183800,26,125,183800,2908,4
2109,261251839002,261251839002,26125183900,26,125,183900,2908,4
2110,261251392005,261251392005,26125139200,26,125,139200,2901,4
2111,261251273004,261251273004,26125127300,26,125,127300,2902,4
2112,261251613002,261251613002,26125161300,26,125,161300,2907,4
2113,261251673003,261251673003,26125167300,26,125,167300,2907,4
2114,261251840001,261251840001,26125184000,26,125,184000,2908,4
2115,261251842001,261251842001,26125184200,26,125,184200,2908,4
2116,261251841003,261251841003,26125184100,26,125,184100,2908,4
2117,261251842004,261251842004,26125184200,26,125,184200,2908,4
2118,261251936002,261251936002,26125193600,26,125,193600,2903,4
2119,261251231001,261251231001,26125123100,26,125,123100,2901,4
2120,261251346001,261251346001,26125134600,26,125,134600,2905,4
2121,261251210002,261251210002,26125121000,26,125,121000,2902,4
2122,261251210001,261251210001,26125121000,26,125,121000,2902,4
2123,261251200001,261251200001,26125120000,26,125,120000,2902,4
2124,261251401001,261251401001,26125140100,26,125,140100,2904,4
2125,261251425002,261251425002,26125142500,26,125,142500,2904,4
2126,261251422004,261251422004,26125142200,26,125,142200,2904,4
2127,261251503004,261251503004,26125150300,26,125,150300,2906,4
2128,261251615002,261251615002,26125161500,26,125,161500,2907,4
2129,261251580004,261251580004,26125158000,26,125,158000,2906,4
2130,261251581001,261251581001,26125158100,26,125,158100,2906,4
2131,261251582002,261251582002,26125158200,26,125,158200,2906,4
2132,261251526002,261251526002,26125152600,26,125,152600,2906,4
2133,261251546002,261251546002,26125154600,26,125,154600,2906,4
2134,261251533001,261251533001,26125153300,26,125,153300,2906,4
2135,261251563001,261251563001,26125156300,26,125,156300,2906,4
2136,261251572001,261251572001,26125157200,26,125,157200,2906,4
2137,261251529001,261251529001,26125152900,26,125,152900,2906,4
2138,261251346003,261251346003,26125134600,26,125,134600,2905,4
2139,261251734006,261251734006,26125173400,26,125,173400,2908,4
2140,261251734005,261251734005,26125173400,26,125,173400,2908,4
2141,261251735001,261251735001,26125173500,26,125,173500,2908,4
2142,261251414004,261251414004,26125141400,26,125,141400,2904,4
2143,261251414001,261251414001,26125141400,26,125,141400,2904,4
2144,261251218002,261251218002,26125121800,26,125,121800,2902,4
2145,261251224003,261251224003,26125122400,26,125,122400,2902,4
2146,261251605002,261251605002,26125160500,26,125,160500,2907,4
2147,261251606003,261251606003,26125160600,26,125,160600,2907,4
2148,261251622001,261251622001,26125162200,26,125,162200,2907,4
2149,261251526001,261251526001,26125152600,26,125,152600,2906,4
2150,261251590001,261251590001,26125159000,26,125,159000,2906,4
2151,261251262001,261251262001,26125126200,26,125,126200,2901,4
2183,261251313001,261251313001,26125131300,26,125,131300,2901,4
2184,261251240002,261251240002,26125124000,26,125,124000,2901,4
2185,261251240003,261251240003,26125124000,26,125,124000,2901,4
2186,261251409004,261251409004,26125140900,26,125,140900,2904,4
2187,261251578001,261251578001,26125157800,26,125,157800,2906,4
2188,261251303001,261251303001,26125130300,26,125,130300,2901,4
2189,261251256001,261251256001,26125125600,26,125,125600,2901,4
2190,261251732003,261251732003,26125173200,26,125,173200,2908,4
2191,261251435001,261251435001,26125143500,26,125,143500,2904,4
2192,261251510005,261251510005,26125151000,26,125,151000,2906,4
2193,261251245001,261251245001,26125124500,26,125,124500,2901,4
2194,261251427004,261251427004,26125142700,26,125,142700,2904,4
2277,261251218001,261251218001,26125121800,26,125,121800,2902,4
2278,261251314001,261251314001,26125131400,26,125,131400,2901,4
2279,261251618003,261251618003,26125161800,26,125,161800,2907,4
2280,261251305001,261251305001,26125130500,26,125,130500,2901,4
2281,261251331002,261251331002,26125133100,26,125,133100,2905,4
2282,261251403011,261251403011,26125140301,26,125,140301,2904,4
2283,261251290003,261251290003,26125129000,26,125,129000,2902,4
2284,261251500003,261251500003,26125150000,26,125,150000,2906,4
2285,261251686003,261251686003,26125168600,26,125,168600,2907,4
2286,261251701001,261251701001,26125170100,26,125,170100,2908,4
2287,261251530002,261251530002,26125153000,26,125,153000,2906,4
2288,261251732001,261251732001,26125173200,26,125,173200,2908,4
2289,261251383021,261251383021,26125138302,26,125,138302,2901,4
2290,261251425001,261251425001,26125142500,26,125,142500,2904,4
2291,261251307003,261251307003,26125130700,26,125,130700,2901,4
2292,261251441004,261251441004,26125144100,26,125,144100,2904,4
2293,261251442002,261251442002,26125144200,26,125,144200,2904,4
2294,261251510003,261251510003,26125151000,26,125,151000,2906,4
2295,261251564001,261251564001,26125156400,26,125,156400,2906,4
2296,261251270003,261251270003,26125127000,26,125,127000,2902,4
2297,261251272001,261251272001,26125127200,26,125,127200,2902,4
2298,261251303002,261251303002,26125130300,26,125,130300,2901,4
2723,261251660002,261251660002,26125166000,26,125,166000,2907,4
2724,261251810003,261251810003,26125181000,26,125,181000,2908,4
2725,261251941002,261251941002,26125194100,26,125,194100,2903,4
2726,261251841001,261251841001,26125184100,26,125,184100,2908,4
2727,261251911002,261251911002,26125191100,26,125,191100,2903,4
2895,261251307001,261251307001,26125130700,26,125,130700,2901,4
2896,261251455011,261251455011,26125145501,26,125,145501,2904,4
2897,261251411002,261251411002,26125141100,26,125,141100,2904,4
2898,261251609003,261251609003,26125160900,26,125,160900,2907,4
2899,261251734002,261251734002,26125173400,26,125,173400,2908,4
2900,261251363004,261251363004,26125136300,26,125,136300,2905,4
2901,261251446004,261251446004,26125144600,26,125,144600,2904,4
2902,261251448002,261251448002,26125144800,26,125,144800,2904,4
2903,261251803002,261251803002,26125180300,26,125,180300,2908,4
2904,261251600003,261251600003,26125160000,26,125,160000,2907,4
2905,261251930002,261251930002,26125193000,26,125,193000,2903,4
2906,261251931002,261251931002,26125193100,26,125,193100,2903,4
2907,261251326001,261251326001,26125132600,26,125,132600,2901,4
2908,261251321003,261251321003,26125132100,26,125,132100,2901,4
2909,261251340001,261251340001,26125134000,26,125,134000,2905,4
2910,261251350001,261251350001,26125135000,26,125,135000,2905,4
2911,261251381002,261251381002,26125138100,26,125,138100,2901,4
